Store_ID,City,State,Latitude,Longitude,Date,Category,Store_Type,Population,Footfall,Orders,Revenue,Competitor_Count,Avg_Income,Expansion_Score,Revenue_Per_Order,Year,Month
S1031,Hyderabad,Telangana,16.819499,77.349162,2024-05-01,Grocery,Rural,1093233,1219.0,657,27998.96,7,71556,3.52,42.61637747336378,2024,5
S1032,Pune,Maharashtra,17.165278,80.326124,2024-10-04,Grocery,Rural,3662610,253.0,675,43868.38,13,24435,1.41,64.99019259259259,2024,10
S1033,Hyderabad,Telangana,14.179893,82.877063,2024-07-22,Pharmacy,Suburban,1219748,650.0,631,47434.46,4,41646,1.43,75.173470681458,2024,7
S1034,Visakhapatnam,Andhra Pradesh,16.445656,77.271824,2024-08-10,Electronics,Suburban,4516271,2916.0,344,172571.12,15,66991,9.5,501.6602325581395,2024,8
S1035,Bengaluru,Karnataka,12.185579,80.514653,2024-12-05,Pharmacy,Suburban,4780530,2527.0,564,117271.96,18,108610,9.47,207.9290070921986,2024,12
S1036,Chennai,Tamil Nadu,17.742988,80.908909,2024-02-12,Pharmacy,Urban,4353244,111.0,626,97428.48,18,115386,4.03,155.63654952076678,2024,2
S1037,Bengaluru,Karnataka,14.232829,82.069252,2024-03-30,Electronics,Suburban,4039618,716.0,922,33950.38,17,41092,9.43,36.82253796095444,2024,3
S1038,Mumbai,Maharashtra,14.925622,82.805483,2024-06-12,Electronics,Urban,2690328,2339.0,758,247673.76,15,32955,4.35,326.74638522427443,2024,6
S1039,Visakhapatnam,Andhra Pradesh,15.933067,78.431581,2024-07-01,Grocery,Rural,2784296,972.0,817,226125.46,19,61959,4.51,276.77534883720926,2024,7
S1040,Pune,Maharashtra,18.268663,79.33521,2024-08-20,Fashion,Urban,4148502,1919.0,737,170808.63,19,69098,5.44,231.76204884667573,2024,8
S1041,Pune,Maharashtra,12.641929,80.614646,2024-02-22,Fashion,Urban,837494,2256.0,712,126132.97,6,103461,5.95,177.153047752809,2024,2
S1042,Pune,Maharashtra,17.159249,80.275495,2024-11-26,Electronics,Rural,1826203,1053.0,511,217382.83,5,16542,4.83,425.40671232876707,2024,11
S1043,Bengaluru,Karnataka,14.776561,82.351381,2024-07-12,Grocery,Urban,3715060,1545.0,358,147419.83,12,41432,8.92,411.78723463687146,2024,7
S1044,Hyderabad,Telangana,18.63074,82.916006,2024-05-11,Pharmacy,Suburban,4989003,1910.0,464,97606.96,6,40289,9.16,210.3598275862069,2024,5
S1045,Visakhapatnam,Andhra Pradesh,15.448376,77.068122,2024-08-07,Electronics,Suburban,3226083,2623.0,475,33793.93,8,57918,7.71,71.14511578947368,2024,8
S1046,Pune,Maharashtra,13.662545,79.401337,2024-11-07,Grocery,Suburban,3438532,233.0,77,7977.85,12,49620,3.9,103.60844155844157,2024,11
S1047,Visakhapatnam,Andhra Pradesh,18.472503,82.514694,2024-06-12,Fashion,Rural,2423139,2194.0,252,58118.23,14,67638,9.96,230.62789682539685,2024,6
S1048,Visakhapatnam,Andhra Pradesh,16.0902,82.406948,2024-01-12,Electronics,Suburban,2535195,767.0,392,72958.39,3,76529,4.49,186.1183418367347,2024,1
S1049,Mumbai,Maharashtra,16.085593,77.466408,2024-02-10,Pharmacy,Rural,3898693,1324.0,948,105745.65,12,50547,3.44,111.54604430379746,2024,2
S1050,Pune,Maharashtra,18.37649,81.935223,2024-03-22,Fashion,Urban,625278,2044.0,469,25273.36,17,71570,1.41,53.88776119402985,2024,3
S1051,Hyderabad,Telangana,17.443216,79.88222,2024-08-26,Grocery,Rural,1685156,1349.5,236,242629.03,16,61540,1.57,1028.0891101694915,2024,8
S1052,Hyderabad,Telangana,14.903737,78.640442,2024-11-06,Electronics,Urban,4959764,1768.0,889,228725.61,4,84172,9.5,257.2841507311586,2024,11
S1053,Bengaluru,Karnataka,14.644954,78.446509,2024-01-01,Fashion,Urban,3081756,1569.0,468,169566.67,1,51187,3.42,362.32194444444445,2024,1
S1054,Bengaluru,Karnataka,15.487156,79.857264,2024-09-15,Fashion,Suburban,2708571,2084.0,73,242153.57,16,68871,5.32,3317.1721917808222,2024,9
S1055,Pune,Maharashtra,16.342167,81.224479,2024-04-12,Electronics,Suburban,4251253,1429.0,117,160977.86,14,38386,1.82,1375.8791452991452,2024,4
S1056,Bengaluru,Karnataka,14.437788,80.083937,2024-11-30,Pharmacy,Suburban,4314694,2228.0,152,200135.59,9,70479,8.58,1316.6815131578946,2024,11
S1057,Hyderabad,Telangana,13.807711,79.754815,2024-02-03,Electronics,Urban,2741276,2273.0,766,147014.23,10,21254,2.16,191.92458224543083,2024,2
S1058,Chennai,Tamil Nadu,12.97179,80.845248,2024-12-25,Pharmacy,Urban,1355794,1987.0,214,131232.83,17,43732,2.73,613.2375233644859,2024,12
S1059,Chennai,Tamil Nadu,17.752534,79.070496,2024-06-18,Grocery,Suburban,3537124,2985.0,532,135933.76,11,33777,9.05,255.51458646616544,2024,6
S1060,Hyderabad,Telangana,15.523921,81.142369,2024-03-13,Electronics,Urban,2956158,1244.0,233,25030.96,10,34262,4.4,107.42901287553647,2024,3
S1061,Hyderabad,Telangana,13.938144,81.837208,2024-04-22,Fashion,Urban,1617438,402.0,658,231390.23,13,43699,4.32,351.6568844984803,2024,4
S1062,Bengaluru,Karnataka,17.232297,77.220099,2024-11-07,Fashion,Rural,2951614,1018.0,769,188655.98,12,103869,5.79,245.3263719115735,2024,11
S1063,Hyderabad,Telangana,17.161836,78.093703,2024-02-08,Grocery,Urban,2242614,2233.0,493,125233.45,16,18596,6.34,254.0232251521298,2024,2
S1064,Mumbai,Maharashtra,14.48573,80.892937,2024-05-25,Fashion,Rural,2173221,2181.0,642,187632.67,16,38275,2.15,292.26272585669784,2024,5
S1065,Hyderabad,Telangana,14.362128,82.397884,2024-11-15,Electronics,Rural,2747143,2462.0,896,85935.38,0,42285,3.03,95.91002232142857,2024,11
S1066,Visakhapatnam,Andhra Pradesh,13.721704,77.964088,2024-11-26,Electronics,Suburban,4198887,2970.0,156,24657.27,18,115894,4.69,158.05942307692308,2024,11
S1067,Mumbai,Maharashtra,18.980789,82.379662,2024-08-07,Fashion,Rural,2909653,217.0,900,125233.45,5,28234,8.39,139.14827777777776,2024,8
S1068,Bengaluru,Karnataka,15.89734,80.429676,2024-06-21,Pharmacy,Urban,114323,1910.0,743,129364.54,16,119587,2.03,174.11109017496634,2024,6
S1069,Bengaluru,Karnataka,17.374457,77.523741,2024-05-18,Fashion,Urban,621650,1001.0,709,116295.65,4,102958,5.94,164.0277150916784,2024,5
S1070,Bengaluru,Karnataka,14.256477,81.859247,2024-11-16,Fashion,Urban,3304600,1349.5,796,125233.45,5,41614,8.15,157.32845477386934,2024,11
S1071,Hyderabad,Telangana,17.955092,80.221847,2024-11-29,Grocery,Rural,3659736,2735.0,566,231980.11,7,56832,7.75,409.858851590106,2024,11
S1072,Mumbai,Maharashtra,13.145592,77.985595,2024-01-05,Fashion,Rural,4113309,2721.0,151,82468.16,9,99056,7.15,546.1467549668874,2024,1
S1073,Visakhapatnam,Andhra Pradesh,18.297672,80.744609,2024-12-18,Fashion,Rural,3345374,1092.0,684,92063.8,14,60558,5.79,134.59619883040935,2024,12
S1074,Pune,Maharashtra,18.345305,80.745428,2024-07-16,Electronics,Rural,3292374,1302.0,987,174960.81,19,95910,8.91,177.2652583586626,2024,7
S1075,Hyderabad,Telangana,15.734228,82.363355,2024-06-05,Electronics,Urban,1949492,1050.0,308,13215.45,1,47265,5.45,42.9073051948052,2024,6
S1076,Bengaluru,Karnataka,14.394572,81.927544,2024-06-07,Fashion,Urban,2350119,2162.0,176,137265.86,14,99291,7.5,779.919659090909,2024,6
S1077,Bengaluru,Karnataka,12.085422,80.590656,2024-10-18,Electronics,Rural,2742755,110.0,273,227570.39,5,27999,4.81,833.5911721611723,2024,10
S1078,Bengaluru,Karnataka,18.630983,77.920108,2024-05-20,Unknown,Suburban,591656,1739.0,847,150275.91,11,52219,9.27,177.42138134592682,2024,5
S1079,Pune,Maharashtra,18.457496,81.243432,2024-04-15,Grocery,Rural,2464472,1113.0,70,185428.84,7,83904,9.33,2648.9834285714287,2024,4
S1080,Hyderabad,Telangana,12.792666,82.909047,2024-04-19,Pharmacy,Suburban,4001416,1954.0,969,132115.32,7,78374,4.59,136.34191950464398,2024,4
S1081,Hyderabad,Telangana,17.209748,78.233479,2024-11-08,Grocery,Suburban,4285042,674.0,263,136661.92,10,88509,4.12,519.6270722433461,2024,11
S1082,Bengaluru,Karnataka,15.365859,82.510728,2024-05-07,Fashion,Rural,2799178,1302.0,201,48214.81,6,85835,4.77,239.87467661691542,2024,5
S1083,Hyderabad,Telangana,14.536757,80.48353,2024-05-29,Electronics,Suburban,1345302,948.0,103,117452.3,19,67853,8.75,1140.3135922330098,2024,5
S1084,Pune,Maharashtra,13.29124,78.797575,2024-08-11,Grocery,Suburban,4377858,1051.0,742,90599.81,16,101444,4.4,122.10216981132075,2024,8
S1085,Chennai,Tamil Nadu,12.45996,81.653166,2024-06-23,Electronics,Suburban,2709440,1349.5,241,125233.45,3,70168,4.01,519.6408713692946,2024,6
S1086,Chennai,Tamil Nadu,14.613165,80.221847,2024-06-10,Pharmacy,Urban,1835910,1923.0,197,217413.47,7,91534,3.28,1103.6216751269035,2024,6
S1087,Chennai,Tamil Nadu,15.538555,80.570294,2024-09-05,Fashion,Urban,3530130,1349.5,437,202302.17,13,90039,8.7,462.9340274599543,2024,9
S1088,Chennai,Tamil Nadu,18.738545,82.666458,2024-06-30,Grocery,Suburban,818734,922.0,963,26296.63,9,31032,2.87,27.30698857736241,2024,6
S1089,Chennai,Tamil Nadu,12.859438,82.258664,2024-10-11,Pharmacy,Suburban,451921,2020.0,834,158066.51,10,118145,8.43,189.52818944844125,2024,10
S1090,Chennai,Tamil Nadu,16.132065,78.608382,2024-09-17,Grocery,Suburban,1755215,1857.0,924,111851.0,11,32771,2.26,121.05086580086581,2024,9
S1091,Bengaluru,Karnataka,15.960436,82.912204,2024-08-02,Pharmacy,Urban,1782465,2673.0,540,137700.38,12,114608,3.32,255.00070370370372,2024,8
S1092,Visakhapatnam,Andhra Pradesh,15.523921,79.530224,2024-06-02,Electronics,Urban,3584550,904.0,94,206533.05,9,53243,5.48,2197.1601063829785,2024,6
S1093,Bengaluru,Karnataka,15.879246,80.908522,2024-03-16,Fashion,Urban,766756,2174.0,844,70292.11,7,111523,6.7,83.28449052132702,2024,3
S1094,Pune,Maharashtra,13.227599,82.486472,2024-07-08,Electronics,Suburban,440719,229.0,841,185818.24,18,36172,6.43,220.9491557669441,2024,7
S1095,Bengaluru,Karnataka,15.523921,82.022474,2024-01-11,Pharmacy,Urban,3613706,2954.0,763,143769.14,1,68302,6.97,188.42613368283094,2024,1
S1096,Visakhapatnam,Andhra Pradesh,12.945009,79.90253,2024-09-06,Pharmacy,Rural,2392035,1862.0,263,17599.32,12,53890,4.01,66.91756653992395,2024,9
S1097,Bengaluru,Karnataka,15.319661,79.066302,2024-10-22,Grocery,Urban,3925754,1739.0,61,117621.97,2,60186,1.7,1928.2290163934426,2024,10
S1098,Mumbai,Maharashtra,16.862875,78.632871,2024-12-19,Unknown,Rural,666036,2964.0,976,198553.32,16,72134,1.78,203.4357786885246,2024,12
S1099,Chennai,Tamil Nadu,17.125574,81.839367,2024-08-02,Grocery,Suburban,2252575,809.0,219,125233.45,11,92454,7.24,571.8422374429224,2024,8
S1100,Hyderabad,Telangana,18.608415,77.236561,2024-09-22,Pharmacy,Rural,3863270,1917.0,105,229294.63,13,52198,7.28,2183.758380952381,2024,9
S1101,Hyderabad,Telangana,13.348193,77.691692,2024-11-10,Fashion,Urban,4018222,1089.0,391,211914.6,17,32850,8.46,541.9810741687979,2024,11
S1102,Hyderabad,Telangana,16.551171,79.188183,2024-04-17,Pharmacy,Urban,3405745,230.0,824,134914.96,11,55998,3.84,163.73174757281552,2024,4
S1103,Hyderabad,Telangana,15.76881,80.969931,2024-07-28,Grocery,Urban,2750713,1231.0,913,107288.99,2,67393,9.91,117.51258488499452,2024,7
S1104,Chennai,Tamil Nadu,18.122912,80.173623,2024-04-05,Fashion,Rural,4784963,128.0,977,26693.14,11,27984,6.23,27.321535312180142,2024,4
S1105,Mumbai,Maharashtra,18.888584,81.60964,2024-12-24,Pharmacy,Urban,2179885,2150.0,448,91882.43,17,70619,7.44,205.09470982142855,2024,12
S1106,Pune,Maharashtra,12.294652,77.107244,2024-03-13,Fashion,Urban,4367048,1063.0,159,239321.85,4,60028,1.8,1505.1688679245283,2024,3
S1107,Visakhapatnam,Andhra Pradesh,18.876314,82.305194,2024-12-09,Fashion,Suburban,608924,2373.0,172,187121.44,3,69842,4.61,1087.9153488372094,2024,12
S1108,Pune,Maharashtra,16.547527,80.646421,2024-11-25,Fashion,Suburban,3878464,2653.0,278,207420.4,4,65948,6.67,746.1165467625899,2024,11
S1109,Hyderabad,Telangana,15.627823,80.583644,2024-08-28,Grocery,Rural,1879553,949.0,81,249102.27,2,43831,5.17,3075.3366666666666,2024,8
S1110,Pune,Maharashtra,13.566723,80.221847,2024-11-24,Pharmacy,Suburban,3279028,1390.0,636,100836.59,8,32602,9.6,158.54809748427672,2024,11
S1111,Mumbai,Maharashtra,12.247957,78.974308,2024-01-25,Grocery,Rural,4556554,1083.0,143,96308.69,7,36754,7.51,673.4873426573427,2024,1
S1112,Bengaluru,Karnataka,15.728218,82.772732,2024-06-24,Grocery,Urban,4216769,1424.0,243,131439.36,18,34129,6.14,540.9027160493827,2024,6
S1113,Bengaluru,Karnataka,15.806452,80.221847,2024-10-15,Electronics,Rural,4230303,2239.0,372,43548.46,15,98624,4.01,117.06575268817204,2024,10
S1114,Pune,Maharashtra,16.8823,81.080845,2024-07-09,Fashion,Suburban,1776470,2280.0,766,240522.25,18,69302,8.43,313.99771540469976,2024,7
S1115,Bengaluru,Karnataka,15.523921,78.371751,2024-02-08,Fashion,Suburban,492061,688.0,543,6564.54,12,75461,3.94,12.08939226519337,2024,2
S1116,Hyderabad,Telangana,16.422695,78.558821,2024-07-06,Pharmacy,Urban,2405874,1107.0,345,74419.02,6,44257,4.89,215.7073043478261,2024,7
S1117,Bengaluru,Karnataka,14.393105,80.795731,2024-08-09,Grocery,Urban,1706671,583.0,261,237087.98,16,95395,1.61,908.3830651340996,2024,8
S1118,Bengaluru,Karnataka,15.315017,77.347523,2024-04-29,Fashion,Suburban,1952897,803.0,706,242375.07,3,105874,2.17,343.3074645892351,2024,4
S1119,Pune,Maharashtra,14.685286,77.393757,2024-02-02,Electronics,Rural,1604510,2606.0,589,5252.22,1,41029,5.22,8.917181663837013,2024,2
S1120,Mumbai,Maharashtra,14.983269,79.708322,2024-02-08,Fashion,Rural,1436652,1198.0,903,210787.06,14,93797,3.07,233.42974529346623,2024,2
S1121,Chennai,Tamil Nadu,13.912817,82.705181,2024-08-23,Pharmacy,Urban,1151844,2450.0,995,215053.22,19,63901,7.84,216.13388944723619,2024,8
S1122,Pune,Maharashtra,18.887844,79.456004,2024-01-15,Electronics,Urban,4947954,1955.0,812,180156.39,17,53158,5.24,221.86747536945813,2024,1
S1123,Chennai,Tamil Nadu,18.777354,78.113153,2024-05-24,Grocery,Urban,2492266,1809.0,581,191450.88,2,76788,2.18,329.519586919105,2024,5
S1124,Pune,Maharashtra,18.382852,82.805068,2024-02-15,Fashion,Urban,568349,2602.0,292,153790.08,19,49531,6.03,526.6783561643836,2024,2
S1125,Hyderabad,Telangana,13.125778,80.909117,2024-04-26,Electronics,Rural,659996,2868.0,91,118826.66,17,98309,9.77,1305.7874725274726,2024,4
S1126,Visakhapatnam,Andhra Pradesh,14.041638,81.169891,2024-10-15,Pharmacy,Suburban,2439383,878.0,233,188544.6,8,58408,1.93,809.2042918454936,2024,10
S1127,Visakhapatnam,Andhra Pradesh,12.997469,79.993329,2024-03-26,Pharmacy,Urban,4580889,1035.0,947,235603.19,0,64153,5.81,248.78900739176348,2024,3
S1128,Hyderabad,Telangana,14.454389,77.199219,2024-04-25,Electronics,Suburban,3932149,1349.5,705,174832.52,14,83577,1.37,247.98939007092198,2024,4
S1129,Mumbai,Maharashtra,12.731975,80.818581,2024-05-02,Electronics,Urban,2907733,2370.0,435,78214.79,11,117215,7.43,179.8041149425287,2024,5
S1130,Visakhapatnam,Andhra Pradesh,17.483959,80.673548,2024-01-07,Fashion,Suburban,3879049,121.0,429,122821.44,8,110081,4.95,286.29706293706295,2024,1
S1131,Bengaluru,Karnataka,12.422465,78.482619,2024-01-25,Grocery,Rural,2042825,1349.5,375,187348.37,18,104899,6.0,499.5956533333333,2024,1
S1132,Bengaluru,Karnataka,16.572841,78.993888,2024-11-07,Grocery,Rural,1440281,854.0,54,59037.48,14,113656,8.56,1093.2866666666666,2024,11
S1133,Hyderabad,Telangana,18.077908,81.363014,2024-01-24,Pharmacy,Urban,1045843,2879.0,383,193092.35,17,95818,6.21,504.1575718015666,2024,1
S1134,Mumbai,Maharashtra,12.205761,79.373091,2024-08-15,Electronics,Rural,1386737,1897.0,314,72822.81,18,60241,9.21,231.91977707006367,2024,8
S1135,Mumbai,Maharashtra,14.68693,79.794877,2024-01-21,Fashion,Urban,3092146,893.0,539,104300.99,9,81061,9.74,193.5083302411874,2024,1
S1136,Pune,Maharashtra,17.980696,79.953667,2024-11-13,Unknown,Urban,4866909,603.0,250,93012.18,1,84350,2.47,372.04871999999995,2024,11
S1137,Chennai,Tamil Nadu,14.185036,79.394276,2024-06-11,Grocery,Urban,4221774,1572.0,443,151684.93,3,27588,3.13,342.40390519187355,2024,6
S1138,Chennai,Tamil Nadu,18.185968,79.652146,2024-03-20,Electronics,Urban,4627033,2991.0,881,40710.36,4,119199,6.55,46.209262202043135,2024,3
S1139,Hyderabad,Telangana,13.767694,79.155504,2024-10-10,Grocery,Rural,367348,2834.0,223,121284.56,16,24847,8.25,543.8769506726458,2024,10
S1140,Mumbai,Maharashtra,15.523921,80.348841,2024-09-07,Grocery,Suburban,1617053,1068.0,530,61627.07,0,54030,3.02,116.27749056603774,2024,9
S1141,Pune,Maharashtra,18.537125,78.896937,2024-06-27,Electronics,Suburban,3892323,2840.0,261,241454.08,10,80661,9.57,925.111417624521,2024,6
S1142,Bengaluru,Karnataka,18.811684,80.480673,2024-07-02,Fashion,Rural,2478081,1018.0,447,135400.02,12,93131,7.34,302.908322147651,2024,7
S1143,Bengaluru,Karnataka,17.130292,77.974291,2024-12-06,Grocery,Rural,3172951,2816.0,371,62467.52,14,63320,8.54,168.37606469002694,2024,12
S1144,Bengaluru,Karnataka,14.620077,77.105096,2024-05-24,Electronics,Rural,1326647,687.0,859,199900.04,3,116376,2.94,232.71250291036088,2024,5
S1145,Visakhapatnam,Andhra Pradesh,14.757051,80.907398,2024-03-30,Electronics,Suburban,2677144,1212.0,707,189344.8,12,100150,7.65,267.8144271570014,2024,3
S1146,Mumbai,Maharashtra,15.523921,81.591145,2024-05-11,Electronics,Rural,4280625,2544.0,298,111717.91,10,18712,2.08,374.89231543624163,2024,5
S1147,Visakhapatnam,Andhra Pradesh,16.543523,78.970287,2024-03-05,Pharmacy,Suburban,4082654,1016.0,934,125233.45,0,23927,4.36,134.08292291220556,2024,3
S1148,Mumbai,Maharashtra,12.102669,80.52237,2024-04-19,Electronics,Suburban,2641661,1126.0,104,216516.74,15,107059,1.23,2081.891730769231,2024,4
S1149,Bengaluru,Karnataka,12.762428,77.893951,2024-10-30,Grocery,Rural,1765499,1863.0,802,101619.5,5,96709,7.46,126.7076059850374,2024,10
S1150,Chennai,Tamil Nadu,15.648639,81.934361,2024-04-16,Fashion,Rural,4206532,1247.0,418,64653.16,10,51914,1.54,154.67263157894737,2024,4
S1151,Pune,Maharashtra,15.354283,78.16735,2024-11-29,Grocery,Urban,798013,1792.0,770,135403.75,7,69691,7.46,175.84902597402598,2024,11
S1152,Bengaluru,Karnataka,13.908368,80.221847,2024-12-10,Electronics,Rural,804950,1162.0,928,50223.36,16,105025,2.67,54.12,2024,12
S1153,Mumbai,Maharashtra,14.971692,77.522234,2024-11-05,Grocery,Urban,1505465,1349.5,910,5633.08,8,67249,2.91,6.190197802197802,2024,11
S1154,Bengaluru,Karnataka,13.223414,79.164635,2024-06-18,Unknown,Urban,2379753,958.0,312,79004.82,18,51451,4.81,253.22057692307695,2024,6
S1155,Bengaluru,Karnataka,17.66671,81.599937,2024-08-29,Grocery,Rural,3746176,582.0,127,216385.28,16,56621,1.21,1703.8211023622048,2024,8
S1156,Chennai,Tamil Nadu,16.249658,80.280184,2024-05-17,Grocery,Suburban,3169612,540.0,273,39734.73,2,19358,7.26,145.54846153846154,2024,5
S1157,Chennai,Tamil Nadu,15.099019,79.674745,2024-08-28,Fashion,Rural,1543293,1703.0,237,87620.65,6,54532,1.71,369.7073839662447,2024,8
S1158,Pune,Maharashtra,18.259336,78.151204,2024-05-15,Grocery,Rural,4621843,1904.0,580,208806.46,4,83011,3.1,360.01113793103445,2024,5
S1159,Pune,Maharashtra,13.898032,80.556872,2024-03-07,Electronics,Urban,4218962,441.0,857,17823.02,11,34201,4.27,20.796989498249708,2024,3
S1160,Chennai,Tamil Nadu,17.114554,79.791234,2024-09-20,Electronics,Suburban,2601331,2600.0,864,160565.21,14,40592,2.53,185.8393634259259,2024,9
S1161,Bengaluru,Karnataka,15.523921,79.702226,2024-01-12,Grocery,Rural,1197116,447.0,646,42341.92,4,77711,5.86,65.54476780185759,2024,1
S1162,Hyderabad,Telangana,16.700909,77.557575,2024-08-18,Unknown,Urban,4622148,2931.0,479,125233.45,1,31163,3.73,261.4477035490605,2024,8
S1163,Bengaluru,Karnataka,14.391722,79.285457,2024-09-14,Fashion,Urban,4636440,2596.0,862,207195.1,3,79977,5.64,240.3655452436195,2024,9
S1164,Chennai,Tamil Nadu,17.503932,80.447524,2024-11-11,Grocery,Suburban,3948606,660.0,61,137234.49,12,49594,7.07,2249.7457377049177,2024,11
S1165,Bengaluru,Karnataka,18.076397,81.835552,2024-12-01,Fashion,Suburban,3662744,498.0,424,10608.99,1,67130,4.11,25.021202830188678,2024,12
S1166,Mumbai,Maharashtra,16.01129,82.596384,2024-10-07,Grocery,Suburban,3838963,194.0,801,39103.52,15,52685,8.46,48.8183770287141,2024,10
S1167,Mumbai,Maharashtra,15.517963,79.391978,2024-01-25,Grocery,Urban,2919729,1063.0,556,61975.08,12,104099,9.69,111.46597122302158,2024,1
S1168,Mumbai,Maharashtra,14.182713,80.036851,2024-05-25,Grocery,Rural,914645,2819.0,880,9333.51,1,118483,4.28,10.606261363636364,2024,5
